Bild1,Wort1,Bild2,Wort2,Bild3,Wort3,Bild4,Wort4,Bild5,Wort5,Bild6,Wort6,Farbe
Kirsche_rot.png,Kirsche,Mund_rot.png,Mund,Tomate_rot.png,Tomate,Herz_rot.png,Herz,Feuerwehr_rot.png,Feuerwehr,Blut_rot.png,Blut,rot
Muenze_gold.png,Münze,Krone_gold.png,Krone,Honig_gold.png,Honig,Ring_gold.png,Ring,Trompete_gold.png,Trompete,Pokal_gold.png,Pokal,gold
Frosch_gruen.png,Frosch,Erbse_gruen.png,Erbse,Raupe_gruen.png,Raupe,Traktor_gruen.png,Traktor,Klee_gruen.png,Klee,Kaktus_gruen.png,Kaktus,gruen
Geige_braun.png,Geige,Pferd_braun.png,Pferd,Tisch_braun.png,Tisch,Nest_braun.png,Nest,Kaffeebohne_braun.png,Kaffeebohne,Piratenschiff_braun.png,Piratenschiff,braun
Kissen_weiss.png,Kissen,Teller_weiss.png,Teller,Zahn_weiss.png,Zahn,Brief_weiss.png,Brief,Iglu_weiss.png,Iglu,Gespenst_weiss.png,Gespenst,weiß
Koffer_schwarz.png,Koffer,Panther_schwarz.png,Panther,Klavier_schwarz.png,Klavier,Fliege_schwarz.png,Fliege,Reifen_schwarz.png,Reifen,Lakritz_schwarz.png,Lakritz,schwarz
