setup_pic,setup_obj,setup_col,target_pic,target_obj,target_col,distractor,distractor_col,distractor_cond,focus_cond,condition
Kette_gold.png,Kette,gold,Schaf_weiss.png,Schaf,weiss,Erbse,gruen,filler,filler,filler
Mund_rot.png,Mund,rot,Geige_braun.png,Geige,braun,Anzug,schwarz,unrel,nofoc,unrel_nofoc
Pokal_gold.png,Pokal,gold,Ring_gold.png,Ring,gold,Iglu,weiss,unrel,foc,unrel_foc
Kaktus_gruen.png,Kaktus,gruen,Salat_gruen.png,Salat,gruen,Raupe,gruen,rel,foc,rel_foc
Krone_gold.png,Krone,gold,Brief_weiss.png,Brief,weiss,Nuss,braun,unrel,nofoc,unrel_nofoc
Mund_rot.png,Mund,rot,Herz_rot.png,Herz,rot,Tomate,rot,rel,foc,rel_foc
Zahn_weiss.png,Zahn,weiss,Holz_braun.png,Holz,braun,Geige,braun,rel,nofoc,rel_nofoc
Klavier_schwarz.png,Klavier,schwarz,Anzug_schwarz.png,Anzug,schwarz,Reifen,schwarz,rel,foc,rel_foc
Kaktus_gruen.png,Kaktus,gruen,Raupe_gruen.png,Raupe,gruen,Herz,rot,unrel,foc,unrel_foc
Krone_gold.png,Krone,gold,Pokal_gold.png,Pokal,gold,Mund,rot,unrel,foc,unrel_foc
Reifen_schwarz_neu.png,Reifen,schwarz,Iglu_weiss.png,Iglu,weiss,Zahn,weiss,rel,nofoc,rel_nofoc
Holz_braun.png,Holz,braun,Nuss_braun.png,Nuss,braun,Geige,braun,rel,foc,rel_foc
Anzug_schwarz.png,Anzug,schwarz,Klavier_schwarz.png,Klavier,schwarz,Salat,gruen,unrel,foc,unrel_foc
Herz_rot.png,Herz,rot,Tomate_rot.png,Tomate,rot,Mund,rot,rel,foc,rel_foc
Iglu_weiss.png,Iglu,weiss,Kaktus_gruen.png,Kaktus,gruen,Ring,gold,unrel,nofoc,unrel_nofoc
Nuss_braun.png,Nuss,braun,Geige_braun.png,Geige,braun,Holz,braun,rel,foc,rel_foc
Anzug_schwarz.png,Anzug,schwarz,Reifen_schwarz_neu.png,Reifen,schwarz,Klavier,schwarz,rel,foc,rel_foc
Tomate_rot.png,Tomate,rot,Krone_gold.png,Krone,gold,Pokal,gold,rel,nofoc,rel_nofoc
Iglu_weiss.png,Iglu,weiss,Zahn_weiss.png,Zahn,weiss,Geige,braun,unrel,foc,unrel_foc
Ring_gold.png,Ring,gold,Salat_gruen.png,Salat,gruen,Herz,rot,unrel,nofoc,unrel_nofoc
Nuss_braun.png,Nuss,braun,Holz_braun.png,Holz,braun,Pokal,gold,unrel,foc,unrel_foc
Kaktus_gruen.png,Kaktus,gruen,Tomate_rot.png,Tomate,rot,Herz,rot,rel,nofoc,rel_nofoc
Iglu_weiss.png,Iglu,weiss,Brief_weiss.png,Brief,weiss,Zahn,weiss,rel,foc,rel_foc
Geige_braun.png,Geige,braun,Ring_gold.png,Ring,gold,Kaktus,gruen,unrel,nofoc,unrel_nofoc
Holz_braun.png,Holz,braun,Mund_rot.png,Mund,rot,Tomate,rot,rel,nofoc,rel_nofoc
Reifen_schwarz_neu.png,Reifen,schwarz,Anzug_schwarz.png,Anzug,schwarz,Krone,gold,unrel,foc,unrel_foc
Brief_weiss.png,Brief,weiss,Raupe_gruen.png,Raupe,gruen,Salat,gruen,rel,nofoc,rel_nofoc
Zahn_weiss.png,Zahn,weiss,Pokal_gold.png,Pokal,gold,Klavier,schwarz,unrel,nofoc,unrel_nofoc
Geige_braun.png,Geige,braun,Nuss_braun.png,Nuss,braun,Reifen,schwarz,unrel,foc,unrel_foc
Krone_gold.png,Krone,gold,Mund_rot.png,Mund,rot,Raupe,gruen,unrel,nofoc,unrel_nofoc
Anzug_schwarz.png,Anzug,schwarz,Zahn_weiss.png,Zahn,weiss,Brief,weiss,rel,nofoc,rel_nofoc
Salat_gruen.png,Salat,gruen,Kaktus_gruen.png,Kaktus,gruen,Nuss,braun,unrel,foc,unrel_foc
Ring_gold.png,Ring,gold,Pokal_gold.png,Pokal,gold,Krone,gold,rel,foc,rel_foc
Herz_rot.png,Herz,rot,Klavier_schwarz.png,Klavier,schwarz,Iglu,weiss,unrel,nofoc,unrel_nofoc
Salat_gruen.png,Salat,gruen,Reifen_schwarz_neu.png,Reifen,schwarz,Mund,rot,unrel,nofoc,unrel_nofoc
Nuss_braun.png,Nuss,braun,Herz_rot.png,Herz,rot,Krone,gold,unrel,nofoc,unrel_nofoc
Zahn_weiss.png,Zahn,weiss,Iglu_weiss.png,Iglu,weiss,Brief,weiss,rel,foc,rel_foc
